Título del video,Tiempo de publicación del video,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%),Duracion de Video,Tema,Tipo
Animal Quiz for Kids | Facts Quiz,5/22/2024,145,2.3205,8,0:00:57,777,5.79,0:03:39,Ciencia,Quiz
Capitals of the World Quiz | Facts Quiz,5/22/2024,101,1.1407,0,0:00:40,986,6.29,0:03:37,Geografia,Quiz
Flags Quiz for Kids | Facts Quiz,6/5/2024,153,2.5069,2,0:00:58,2043,3.96,0:03:28,Geografia,Quiz
African Flags Quiz | Facts Quiz,6/11/2024,114,0.885,1,0:00:27,1708,4.8,0:03:26,Geografia,Quiz
Olympics Quiz | Facts Quiz,6/21/2024,6961,91.856,30,0:00:47,268415,1.89,0:03:20,Cultura,Quiz
Women in History | Facts Quiz,6/27/2024,100,1.5388,1,0:00:55,2422,2.39,0:03:16,Cultura,Quiz
Name the Flower | Facts Quiz,7/3/2024,235,6.6207,1,0:01:41,4541,3.19,0:05:03,Ciencia,Guessing Quiz
Water Cycle Quiz | Facts Quiz,7/11/2024,212,6.2374,2,0:01:45,2707,3.99,0:04:26,Ciencia,Quiz
Planets and Space Quiz | Facts Quiz,7/18/2024,163,4.045,3,0:01:29,6190,1.62,0:04:21,Ciencia,Quiz
Would you Rather... Summer Edition,7/26/2024,251,9.5292,1,0:02:16,11094,1.66,0:07:24,Tematica de Temporada,Would You Rather
Quiz Olympics 2 | Facts Quiz,8/1/2024,134,1.9721,4,0:00:52,1733,4.39,0:03:19,Cultura,Quiz
Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,8/7/2024,394,12.038,0,0:01:49,10523,3.05,0:06:48,Fantasy,Would You Rather
Harry Potter | Facts Quiz,8/15/2024,1516,44.2447,12,0:01:45,32272,3.74,0:04:25,Pop Culture,Quiz
Would You Rather ..? | Disney Parks   🏰 🎢  🧚 | The Quiz Challenge,8/22/2024,278,6.1208,1,0:01:19,5373,2.61,0:06:39,Cultura,Would You Rather
Would You Rather... Hardest Choices Edition,9/6/2024,639,25.6145,1,0:02:24,16064,2.42,0:07:42,Fantasy,Would You Rather
Harry Potter EXPERTS Only! Tricky Questions Ahead!,9/12/2024,3246,119.6582,13,0:02:12,66361,3.95,0:05:21,Pop Culture,Quiz
Test Your Bird Knowledge With This Calming Quiz!,9/20/2024,161,2.6999,1,0:01:00,4549,2.4,0:05:06,Ciencia,Guessing Quiz
The Most Difficult Flag Quiz Ever (Can You Get Them All?),9/27/2024,2252,27.7175,12,0:00:44,32280,5.95,0:04:24,Geografia,Guessing Quiz
Can You Name These Iconic HORROR MOVIES?,10/3/2024,88,2.5537,0,0:01:44,3450,1.74,0:07:23,Pop Culture,Guessing Quiz
Design Your DREAM HALLOWEEN House Room by Room?,10/27/2024,72,1.453,0,0:01:12,1184,4.14,0:04:06,Tematica de Temporada,Would You Rather
Halloween SPECIAL EDITION Choose one button: Yes ✅ or No 🚫,10/31/2024,559,11.9006,5,0:01:16,11458,4.38,0:05:24,Tematica de Temporada,Would You Rather
,,22476,410.8421,125,0:01:05,497405,2.76,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
