Fecha,Suscriptores,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
,126,22580,413.9685,0:01:06
11/5/2024,1,104,3.1265,0:01:48
11/4/2024,1,107,2.7285,0:01:31
11/3/2024,0,135,4.1009,0:01:49
11/2/2024,0,125,3.1245,0:01:29
11/1/2024,4,327,7.6493,0:01:24
10/31/2024,3,334,8.3778,0:01:30
10/30/2024,0,86,2.5756,0:01:47
10/29/2024,0,87,2.7388,0:01:53
10/28/2024,-1,105,3.2308,0:01:50
10/27/2024,0,111,3.4744,0:01:52
10/26/2024,0,92,2.004,0:01:18
10/25/2024,2,130,4.9799,0:02:17
10/24/2024,1,101,3.4145,0:02:01
10/23/2024,1,118,3.8131,0:01:56
10/22/2024,0,136,4.5176,0:01:59
10/21/2024,0,109,3.0761,0:01:41
10/20/2024,1,160,4.3532,0:01:37
10/19/2024,0,131,3.5253,0:01:36
10/18/2024,0,122,3.5691,0:01:45
10/17/2024,0,116,3.8841,0:02:00
10/16/2024,1,134,3.4987,0:01:33
10/15/2024,2,100,2.8852,0:01:43
10/14/2024,1,104,2.4184,0:01:23
10/13/2024,0,215,4.2487,0:01:11
10/12/2024,0,182,3.3974,0:01:07
10/11/2024,0,156,3.759,0:01:26
10/10/2024,1,159,3.9567,0:01:29
10/9/2024,4,243,5.9324,0:01:27
10/8/2024,1,153,4.2137,0:01:39
10/7/2024,0,143,3.792,0:01:35
10/6/2024,0,162,3.1811,0:01:10
10/5/2024,0,269,6.09,0:01:21
10/4/2024,2,216,7.1837,0:01:59
10/3/2024,0,186,4.2773,0:01:22
10/2/2024,0,127,3.7054,0:01:45
10/1/2024,0,113,3.1512,0:01:40
9/30/2024,0,138,3.1073,0:01:21
9/29/2024,1,200,5.3023,0:01:35
9/28/2024,0,132,3.8567,0:01:45
9/27/2024,6,449,8.8693,0:01:11
9/26/2024,1,281,7.0136,0:01:29
9/25/2024,0,71,2.3519,0:01:59
9/24/2024,0,104,2.7719,0:01:35
9/23/2024,0,111,1.6114,0:00:52
9/22/2024,0,359,4.2481,0:00:42
9/21/2024,0,240,3.834,0:00:57
9/20/2024,3,148,2.479,0:01:00
9/19/2024,0,50,1.522,0:01:49
9/18/2024,0,82,2.4194,0:01:46
9/17/2024,0,45,1.6489,0:02:11
9/16/2024,0,42,0.8628,0:01:13
9/15/2024,0,58,1.9338,0:02:00
9/14/2024,1,63,1.7137,0:01:37
9/13/2024,0,49,1.7112,0:02:05
9/12/2024,4,728,8.4109,0:00:41
9/11/2024,1,40,1.2898,0:01:56
9/10/2024,0,37,1.1624,0:01:53
9/9/2024,0,42,1.0308,0:01:28
9/8/2024,0,83,2.6827,0:01:56
9/7/2024,0,91,2.7885,0:01:50
9/6/2024,0,197,7.6259,0:02:19
9/5/2024,0,93,2.6942,0:01:44
9/4/2024,0,63,1.734,0:01:39
9/3/2024,0,67,1.4409,0:01:17
9/2/2024,1,124,4.3464,0:02:06
9/1/2024,0,100,2.6471,0:01:35
8/31/2024,0,62,1.8136,0:01:45
8/30/2024,1,93,2.0348,0:01:18
8/29/2024,0,82,2.5224,0:01:50
8/28/2024,0,74,2.0136,0:01:37
8/27/2024,1,100,3.324,0:01:59
8/26/2024,1,91,3.4545,0:02:16
8/25/2024,5,92,2.3614,0:01:32
8/24/2024,-1,47,1.7863,0:02:16
8/23/2024,1,53,1.2737,0:01:26
8/22/2024,1,125,3.1199,0:01:29
8/21/2024,0,67,2.3327,0:02:05
8/20/2024,1,79,2.5553,0:01:56
8/19/2024,1,32,0.7113,0:01:20
8/18/2024,0,45,0.8377,0:01:07
8/17/2024,0,34,1.109,0:01:57
8/16/2024,0,47,1.1443,0:01:27
8/15/2024,0,140,3.5047,0:01:30
8/14/2024,0,28,0.5669,0:01:12
8/13/2024,0,57,1.3652,0:01:26
8/12/2024,1,51,1.4626,0:01:43
8/11/2024,0,95,0.7727,0:00:29
8/10/2024,0,32,0.8475,0:01:35
8/9/2024,0,64,1.8582,0:01:44
