Título del video,Tiempo de publicación del video,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%),Duracion de Video,Tema,Tipo,Volumen de Audio (dB),Main Confidence,Average Confidence,Number of Labels,Dominant Colors (Average RGB),Color R,Color G,Color B
Animal Quiz for Kids | Facts Quiz,5/22/2024,145.0,2.3205,8.0,0:00:57,777.0,5.79,0:03:39,Ciencia,Quiz,0.010000229,0.963957906,0.833918136,10.0,"(None, None, None)",,,
Capitals of the World Quiz | Facts Quiz,5/22/2024,101.0,1.1407,0.0,0:00:40,986.0,6.29,0:03:37,Geografia,Quiz,0.09000015,0.924355388,0.800862408,10.0,"(None, None, None)",,,
Flags Quiz for Kids | Facts Quiz,6/5/2024,153.0,2.5069,2.0,0:00:58,2043.0,3.96,0:03:28,Geografia,Quiz,3.5200005,0.784250677,0.688827604,10.0,"(None, None, None)",,,
African Flags Quiz | Facts Quiz,6/11/2024,114.0,0.885,1.0,0:00:27,1708.0,4.8,0:03:26,Geografia,Quiz,2.9899998,0.92012459,0.762248123,10.0,"(None, None, None)",,,
Olympics Quiz | Facts Quiz,6/21/2024,6961.0,91.856,30.0,0:00:47,268415.0,1.89,0:03:20,Cultura,Quiz,2.5,0.902162492,0.769210935,10.0,"(None, None, None)",,,
Women in History | Facts Quiz,6/27/2024,100.0,1.5388,1.0,0:00:55,2422.0,2.39,0:03:16,Cultura,Quiz,0.72999954,0.811924577,0.68979218,10.0,"(None, None, None)",,,
Name the Flower | Facts Quiz,7/3/2024,235.0,6.6207,1.0,0:01:41,4541.0,3.19,0:05:03,Ciencia,Guessing Quiz,-1.7200003,0.86600399,0.766417485,10.0,"(None, None, None)",,,
Water Cycle Quiz | Facts Quiz,7/11/2024,212.0,6.2374,2.0,0:01:45,2707.0,3.99,0:04:26,Ciencia,Quiz,1.5,0.909868896,0.734451449,10.0,"(None, None, None)",,,
Planets and Space Quiz | Facts Quiz,7/18/2024,163.0,4.045,3.0,0:01:29,6190.0,1.62,0:04:21,Ciencia,Quiz,-3.6000004,0.907694697,0.749465394,10.0,"(None, None, None)",,,
Would you Rather... Summer Edition,7/26/2024,251.0,9.5292,1.0,0:02:16,11094.0,1.66,0:07:24,Tematica de Temporada,Would You Rather,-4.7700005,0.97614181,0.789633375,10.0,"(None, None, None)",,,
Quiz Olympics 2 | Facts Quiz,8/1/2024,134.0,1.9721,4.0,0:00:52,1733.0,4.39,0:03:19,Cultura,Quiz,2.4799995,0.89244175,0.706470281,10.0,"(None, None, None)",,,
Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,8/7/2024,394.0,12.038,0.0,0:01:49,10523.0,3.05,0:06:48,Fantasy,Would You Rather,-4.379999,0.932111204,0.768288261,10.0,"(None, None, None)",,,
Harry Potter | Facts Quiz,8/15/2024,1516.0,44.2447,12.0,0:01:45,32272.0,3.74,0:04:25,Pop Culture,Quiz,1.4499998,0.851776779,0.691454107,10.0,"(None, None, None)",,,
Would You Rather ..? | Disney Parks   🏰 🎢  🧚 | The Quiz Challenge,8/22/2024,278.0,6.1208,1.0,0:01:19,5373.0,2.61,0:06:39,Cultura,Would You Rather,,0.939677835,0.738571393,10.0,"(None, None, None)",,,
Would You Rather... Hardest Choices Edition,9/6/2024,639.0,25.6145,1.0,0:02:24,16064.0,2.42,0:07:42,Fantasy,Would You Rather,0.19999981,0.899727583,0.756363165,10.0,"(None, None, None)",,,
Harry Potter EXPERTS Only! Tricky Questions Ahead!,9/12/2024,3246.0,119.6582,13.0,0:02:12,66361.0,3.95,0:05:21,Pop Culture,Quiz,-5.8500004,0.918660939,0.86403513,10.0,"(None, None, None)",,,
Test Your Bird Knowledge With This Calming Quiz!,9/20/2024,161.0,2.6999,1.0,0:01:00,4549.0,2.4,0:05:06,Ciencia,Guessing Quiz,1.0299997,0.833078921,0.707151687,10.0,"(None, None, None)",,,
The Most Difficult Flag Quiz Ever (Can You Get Them All?),9/27/2024,2252.0,27.7175,12.0,0:00:44,32280.0,5.95,0:04:24,Geografia,Guessing Quiz,-0.71000004,0.791499078,0.706037223,10.0,"(None, None, None)",,,
Can You Name These Iconic HORROR MOVIES?,10/3/2024,88.0,2.5537,0.0,0:01:44,3450.0,1.74,0:07:23,Pop Culture,Guessing Quiz,-1.7399998,0.853417397,0.753502125,10.0,"(None, None, None)",,,
Design Your DREAM HALLOWEEN House Room by Room?,10/27/2024,72.0,1.453,0.0,0:01:12,1184.0,4.14,0:04:06,Tematica de Temporada,Would You Rather,3.04,0.910355985,0.674852693,10.0,"(None, None, None)",,,
Halloween SPECIAL EDITION Choose one button: Yes ✅ or No 🚫,10/31/2024,559.0,11.9006,5.0,0:01:16,11458.0,4.38,0:05:24,Tematica de Temporada,Would You Rather,1.7799997,0.92597276,0.851017916,10.0,"(None, None, None)",,,
,,22476.0,410.8421,125.0,0:01:05,497405.0,2.76,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
