Image Name,Main Label,Main Confidence,Average Confidence,Number of Labels,Detected Text,Dominant Colors
African Flags Quiz | Facts Quiz,World,0.92012459,0.762248123,10,"WORLD
CAPITALS
QUIZ WORLD CAPITALS QUIZ","RGB(245, 204, 27), RGB(52, 123, 179), RGB(246, 136, 38), RGB(235, 235, 230), RGB(201, 135, 57), RGB(254, 85, 87), RGB(65, 167, 213), RGB(176, 239, 251), RGB(201, 84, 121), RGB(239, 182, 133)"
Animal Quiz for Kids | Facts Quiz,Elephant,0.963957906,0.833918136,10,"AFRICAN'
FLAGS
QUIZ AFRICAN ' FLAGS QUIZ","RGB(250, 103, 63), RGB(251, 204, 6), RGB(23, 62, 184), RGB(247, 172, 45), RGB(246, 236, 16), RGB(214, 20, 89), RGB(40, 73, 162), RGB(16, 49, 206), RGB(71, 185, 104), RGB(42, 52, 111)"
Can You Name These Iconic HORROR MOVIES?,Recipe,0.853417397,0.753502125,10,"WOULD YOU RATHER
OR
Travel to a moon made ice cream
Travel to a moon made of cotton candy WOULD YOU RATHER OR Travel to a moon made ice cream Travel to a moon made of cotton candy","RGB(177, 57, 202), RGB(249, 204, 14), RGB(101, 76, 113), RGB(38, 47, 74), RGB(89, 120, 144), RGB(198, 130, 159), RGB(231, 195, 241), RGB(158, 110, 91), RGB(252, 20, 82), RGB(220, 196, 164)"
Capitals of the World Quiz | Facts Quiz,Vertebrate,0.924355388,0.800862408,10,"ANIMAL
FACTS
QUIZ ANIMAL FACTS QUIZ","RGB(22, 86, 170), RGB(249, 203, 7), RGB(20, 64, 185), RGB(249, 142, 75), RGB(18, 52, 207), RGB(96, 87, 56), RGB(137, 116, 63), RGB(20, 21, 25), RGB(126, 99, 136), RGB(236, 236, 237)"
Design Your DREAM HALLOWEEN House Room by Room?,Eyelash,0.910355985,0.674852693,10,"WOULD YOU RATHER
OR
Spiders crawling while you sleep
Snakes slither while awake WOULD YOU RATHER OR Spiders crawling while you sleep Snakes slither while awake","RGB(44, 182, 171), RGB(200, 147, 122), RGB(251, 173, 6), RGB(239, 37, 35), RGB(244, 242, 241), RGB(208, 193, 129), RGB(56, 49, 46), RGB(90, 79, 53), RGB(249, 143, 6), RGB(158, 98, 16)"
Flags Quiz for Kids | Facts Quiz,Publication,0.784250677,0.688827604,10,"GUESS THE MOVIE
R GUESS THE MOVIE R","RGB(192, 5, 6), RGB(97, 114, 207), RGB(21, 15, 16), RGB(235, 246, 249), RGB(78, 43, 26), RGB(218, 189, 160), RGB(117, 71, 27), RGB(30, 59, 31), RGB(246, 234, 94), RGB(246, 179, 91)"
Halloween SPECIAL EDITION Choose one button: Yes ✅ or No 🚫,Water,0.92597276,0.851017916,10,"WOULD YOU RATHER
OR
Visiting a big zoo
Going to an aquarium WOULD YOU RATHER OR Visiting a big zoo Going to an aquarium","RGB(3, 81, 205), RGB(4, 103, 215), RGB(215, 125, 45), RGB(160, 106, 60), RGB(9, 86, 144), RGB(111, 73, 51), RGB(5, 47, 107), RGB(178, 191, 214), RGB(24, 156, 211), RGB(248, 202, 6)"
Harry Potter | Facts Quiz,Font,0.851776779,0.691454107,10,"OLYMPICS QUIZ
QUIZ② OLYMPICS QUIZ QUIZ②","RGB(245, 199, 7), RGB(12, 129, 210), RGB(49, 185, 199), RGB(16, 138, 187), RGB(194, 194, 42), RGB(2, 150, 36), RGB(239, 132, 17), RGB(30, 173, 121), RGB(17, 118, 233), RGB(234, 46, 33)"
Harry Potter EXPERTS Only! Tricky Questions Ahead!,Vertebrate,0.918660939,0.86403513,10,"WATER
CYCLE
QUIZ WATER CYCLE QUIZ","RGB(38, 134, 195), RGB(51, 154, 204), RGB(247, 245, 244), RGB(38, 183, 189), RGB(7, 6, 8), RGB(11, 147, 56), RGB(23, 54, 77), RGB(242, 177, 130), RGB(47, 96, 23), RGB(41, 142, 195)"
Name the Flower | Facts Quiz,Organism,0.86600399,0.766417485,10,"CHOOSE ONE BUTTON
YES
NO CHOOSE ONE BUTTON YES NO","RGB(26, 169, 77), RGB(234, 42, 33), RGB(142, 100, 176), RGB(6, 5, 7), RGB(18, 184, 70), RGB(177, 148, 197), RGB(162, 34, 27), RGB(117, 118, 125), RGB(187, 189, 194), RGB(32, 16, 47)"
Olympics Quiz | Facts Quiz,World,0.902162492,0.769210935,10,"WOULD YOU RATHER
OR
with dead trees and plants
shadows that play tricks WOULD YOU RATHER OR with dead trees and plants shadows that play tricks","RGB(73, 23, 95), RGB(85, 121, 152), RGB(105, 159, 181), RGB(178, 206, 240), RGB(187, 16, 15), RGB(238, 243, 246), RGB(168, 21, 25), RGB(117, 75, 58), RGB(181, 91, 26), RGB(253, 217, 15)"
Planets and Space Quiz | Facts Quiz,Product,0.907694697,0.749465394,10,"HARRY
POTTER
QUIZ
EXPERTS ONLY HARRY POTTER QUIZ EXPERTS ONLY","RGB(148, 26, 28), RGB(5, 9, 36), RGB(6, 6, 54), RGB(226, 153, 35), RGB(37, 84, 132), RGB(244, 244, 241), RGB(13, 45, 161), RGB(34, 79, 169), RGB(92, 17, 47), RGB(223, 26, 27)"
Quiz Olympics 2 | Facts Quiz,Azure,0.89244175,0.706470281,10,OLYMPICS QUIZ OLYMPICS QUIZ,"RGB(245, 199, 7), RGB(12, 129, 210), RGB(243, 135, 20), RGB(2, 151, 33), RGB(197, 195, 44), RGB(18, 137, 186), RGB(48, 182, 196), RGB(31, 171, 117), RGB(8, 118, 232), RGB(158, 201, 92)"
Test Your Bird Knowledge With This Calming Quiz!,Font,0.833078921,0.707151687,10,"WOMEN
IN
HISTORY
Q WOMEN IN HISTORY Q","RGB(237, 134, 129), RGB(205, 70, 28), RGB(21, 25, 22), RGB(246, 244, 240), RGB(59, 14, 2), RGB(29, 183, 185), RGB(26, 50, 73), RGB(251, 78, 143), RGB(141, 46, 116), RGB(113, 170, 222)"
The Most Difficult Flag Quiz Ever (Can You Get Them All?),Poster,0.791499078,0.706037223,10,"WOULD YOU RATHER
Magic Kingdom
OR
PARKS
Disney California Adventure WOULD YOU RATHER Magic Kingdom OR PARKS Disney California Adventure","RGB(26, 152, 246), RGB(172, 138, 245), RGB(214, 184, 230), RGB(251, 100, 189), RGB(131, 163, 193), RGB(88, 109, 239), RGB(240, 241, 243), RGB(127, 75, 33), RGB(221, 32, 88), RGB(170, 150, 124)"
Water Cycle Quiz | Facts Quiz,Smile,0.909868896,0.734451449,10,"HARRY
POTTER
QUIZ HARRY POTTER QUIZ","RGB(2, 4, 54), RGB(16, 15, 19), RGB(159, 19, 4), RGB(224, 154, 8), RGB(244, 245, 242), RGB(68, 1, 124), RGB(21, 2, 94), RGB(147, 119, 17), RGB(95, 127, 94), RGB(163, 3, 149)"
Women in History | Facts Quiz,Font,0.811924577,0.68979218,10,"COUNTRY
FLAGS
QUIZ
200 COUNTRY FLAGS QUIZ 200","RGB(249, 240, 31), RGB(239, 188, 171), RGB(224, 24, 29), RGB(240, 245, 245), RGB(24, 92, 148), RGB(160, 27, 30), RGB(247, 200, 13), RGB(22, 76, 161), RGB(35, 51, 70), RGB(18, 135, 56)"
Would You Rather ..? | Disney Parks   🏰 🎢  🧚 | The Quiz Challenge,Bird,0.939677835,0.738571393,10,"GUESS
THE
BIRD
QUIZ GUESS THE BIRD QUIZ","RGB(55, 103, 254), RGB(251, 203, 8), RGB(161, 108, 28), RGB(24, 63, 185), RGB(128, 74, 22), RGB(123, 112, 90), RGB(37, 73, 161), RGB(244, 241, 236), RGB(208, 190, 162), RGB(126, 102, 140)"
Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,World,0.932111204,0.768288261,10,"PLANETS
シ
AND
SPACE
QUIZ PLANETS シ AND SPACE QUIZ","RGB(3, 4, 86), RGB(4, 4, 62), RGB(20, 61, 174), RGB(33, 67, 160), RGB(238, 240, 240), RGB(3, 1, 122), RGB(18, 20, 20), RGB(127, 61, 113), RGB(127, 48, 134), RGB(201, 76, 26)"
Would You Rather... Hardest Choices Edition,Rectangle,0.899727583,0.756363165,10,"GUESS THE FLAGS
C⭑
A
●=1
本
الله الكبر GUESS THE FLAGS C⭑ A ● = 1 本 الله الكبر","RGB(228, 33, 34), RGB(246, 246, 244), RGB(243, 234, 38), RGB(36, 170, 84), RGB(170, 38, 39), RGB(239, 111, 124), RGB(245, 203, 21), RGB(28, 182, 197), RGB(35, 78, 161), RGB(236, 129, 27)"
Would you Rather... Summer Edition,Flower,0.97614181,0.789633375,10,"NAME
THE
FLOWER NAME THE FLOWER","RGB(16, 89, 172), RGB(214, 144, 7), RGB(236, 193, 6), RGB(254, 85, 86), RGB(221, 4, 30), RGB(241, 187, 208), RGB(22, 24, 20), RGB(13, 74, 199), RGB(170, 108, 16), RGB(244, 243, 243)"
